frequency,time
49.988,14.10.2024 02:06:07
49.988,14.10.2024 02:06:08
49.988,14.10.2024 02:06:09
49.988,14.10.2024 02:06:10
49.988,14.10.2024 02:06:11
49.988,14.10.2024 02:06:12
49.988,14.10.2024 02:06:13
49.988,14.10.2024 02:06:14
49.988,14.10.2024 02:06:15
49.988,14.10.2024 02:06:16
49.988,14.10.2024 02:06:17
49.977,14.10.2024 02:06:18
49.977,14.10.2024 02:06:19
49.977,14.10.2024 02:06:20
49.977,14.10.2024 02:06:21
49.977,14.10.2024 02:06:22
49.977,14.10.2024 02:06:23
49.977,14.10.2024 02:06:24
49.977,14.10.2024 02:06:25
49.977,14.10.2024 02:06:26
49.977,14.10.2024 02:06:27
49.979,14.10.2024 02:06:28
49.979,14.10.2024 02:06:29
49.979,14.10.2024 02:06:30
49.979,14.10.2024 02:06:31
49.979,14.10.2024 02:06:32
49.979,14.10.2024 02:06:33
49.979,14.10.2024 02:06:34
49.979,14.10.2024 02:06:35
49.979,14.10.2024 02:06:36
49.979,14.10.2024 02:06:37
50.004,14.10.2024 02:06:38
50.004,14.10.2024 02:06:39
50.004,14.10.2024 02:06:40
50.004,14.10.2024 02:06:41
50.004,14.10.2024 02:06:42
50.004,14.10.2024 02:06:43
50.004,14.10.2024 02:06:44
50.004,14.10.2024 02:06:45
50.004,14.10.2024 02:06:46
49.993,14.10.2024 02:06:58
49.993,14.10.2024 02:06:59
49.993,14.10.2024 02:07:00
49.993,14.10.2024 02:07:01
49.993,14.10.2024 02:07:02
49.993,14.10.2024 02:07:03
49.993,14.10.2024 02:07:04
