day,start,duration
23,1724379469673,0
23,1724379534696,0
23,1724379555688,0
23,1724379602684,0
23,1724379605614,0
23,1724379619570,0
23,1724379672572,0
23,1724379689568,0
23,1724379734670,3086
23,1724380624673,0
23,1724381093612,2601
23,1724381164601,0
23,1724381181673,0
23,1724381678682,0
23,1724381762663,0
23,1724381964669,0
23,1724382102685,2819
23,1724382105504,0
23,1724382122686,4128
23,1724382286685,0
23,1724382314682,3672
23,1724382372589,0
23,1724382431678,0
23,1724382609110,0
23,1724382620804,0
23,1724382643559,0
23,1724382832673,2526
23,1724382882688,0
23,1724382902683,3149
23,1724383023684,0
23,1724383094551,0
23,1724383126684,0
23,1724383344669,0
23,1724383349598,0
23,1724383436689,0
23,1724383641694,2515
23,1724383672679,0
23,1724384056686,2614
23,1724384060686,3229
23,1724384201425,0
23,1724385854681,4315
23,1724385919722,3896
23,1724385923618,0
23,1724385928790,0
23,1724386202667,0
23,1724386406664,0
23,1724386434683,0
23,1724386475684,0
23,1724386498671,4086
23,1724386514683,3445
23,1724386526607,4577
23,1724386534702,3314
23,1724386598504,0
23,1724386613696,0
23,1724386723673,0
23,1724386879693,0
23,1724386977688,0
23,1724387014618,0
23,1724387120516,0
23,1724387142527,0
23,1724387151978,2556
23,1724387154534,0
23,1724387189600,0
23,1724387209680,2815
23,1724401459678,0
23,1724401470696,6122
23,1724401476818,6027
23,1724405051845,0
23,1724405263675,0
23,1724414483752,0
23,1724414496675,0
23,1724418905664,6028
23,1724418912674,5993
23,1724420421674,6004
23,1724420734663,5999
23,1724448655693,5987
23,1724450034693,0
23,1724452984663,6009
24,1724476422674,3391
24,1724478143678,2960
24,1724479530674,0
24,1724480436674,0
24,1724487033663,0
24,1724505303758,5988
24,1724505317664,6014
24,1724519287600,0
24,1724522432684,0
24,1724523860677,0
24,1724524011682,0
24,1724524203585,0
24,1724524536679,0
